"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"304","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I9",0.0272637144745539
"305","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I8",0.00228849966953073
"306","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I23",0.000206543291473893
"307","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I18",0.0518010575016523
"308","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I22",0.0366325181758096
"309","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I15",0.0247108393919366
"310","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I2",0.00242068737607403
"311","M1.38.C12","Com12","M1",38,NA,"Temp","Four","D11",0.760674157303371
"312","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I20",0.0046265697290152
"313","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","I23",0.000501194251928423
"314","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","D14",0.000516856572301186
"315","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","I22",0.00138611535298955
"316","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","I9",0.74916010807001
"317","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","I8",0.00418183953952778
"318","M1.38.C13","Com13","M1",38,"Non_evo","Temp","Eight","I11",0.00158972551783547
