Id,estimate,TempLevel,Stress,Rep
I18,0.000742627,23,pH_Sal,2
I18,0.001853478,23,pH_Sal,3
I18,0.001093052,27,pH,1
I18,0.000502506,27,pH,2
I18,0.001868464,27,pH_Sal,1
I18,0.002055821,27,pH_Sal,2
I18,0.000794058,27,pH_Sal,3
I18,0.003638223,30,pH,1
I18,0.004757728,30,pH,2
I18,0.004372642,30,pH,3
I18,0.00077922,30,pH_Sal,1
I18,0.001006884,30,pH_Sal,2
I18,0.000631706,30,pH_Sal,3
I18,0.003041683,34,pH,1
I18,0.000363988,34,pH_Sal,3
I18,0.000892634,38,pH_Sal,3
I23,0.001915485,15,Control,1
I23,0.001919756,15,Control,2
I23,0.001954517,15,Control,3
I23,0.001267763,15,Sal,1
I23,0.001243014,15,Sal,2
I23,0.001296018,15,Sal,3
I23,0.002455234,20,Control,1
I23,0.002393989,20,Control,2
I23,0.002388299,20,Control,3
I23,0.001841535,20,Sal,1
I23,0.001159757,20,Sal,2
I23,0.001159475,20,Sal,3
I23,0.002522149,23,Control,1
I23,0.002507623,23,Control,2
I23,0.002898746,23,Control,3
I23,0.001458896,23,Sal,1
I23,0.001691859,23,Sal,2
I23,0.001657176,23,Sal,3
I23,0.002961699,27,Control,1
I23,0.002902714,27,Control,2
I23,0.002250364,27,Control,3
I23,0.002153085,27,Sal,1
I23,0.002598836,27,Sal,2
I23,0.001389817,27,Sal,3
I23,0.002699992,30,Control,1
I23,0.002644171,30,Control,2
I23,0.002617555,30,Control,3
I23,0.001807374,34,Control,1
I23,0.001757761,34,Control,2
I23,0.002197213,34,Control,3
I23,0.001874395,15,pH,1
I23,0.002383931,15,pH,2
I23,0.002478353,15,pH,3
I23,0.001028992,15,pH_Sal,1
I23,0.001069724,15,pH_Sal,2
I23,0.001005044,15,pH_Sal,3
I23,0.003024192,20,pH,1
I23,0.003049424,20,pH,2
I23,0.00293452,20,pH,3
I23,0.00100734,20,pH_Sal,1
I23,0.00163083,20,pH_Sal,2
I23,0.000939344,20,pH_Sal,3
I23,0.002885719,23,pH,1
I23,0.002804599,23,pH,2
I23,0.002978482,23,pH,3
I23,0.001766669,23,pH_Sal,1
I23,0.001945385,23,pH_Sal,2
I23,0.002105888,23,pH_Sal,3
I23,0.002835726,27,pH,1
I23,0.002729838,27,pH,2
I23,0.002797477,27,pH,3
I23,0.002072319,27,pH_Sal,1
I23,0.002037265,27,pH_Sal,2
I23,0.002007042,27,pH_Sal,3
I23,0.002927613,30,pH,1
I23,0.002717631,30,pH,2
I23,0.00269092,30,pH,3
I23,0.000585935,30,pH_Sal,1
I23,0.000305287,30,pH_Sal,2
I23,0.000210772,30,pH_Sal,3
I23,0.002108778,34,pH,1
I23,0.002252574,34,pH,2
I23,0.001614992,34,pH,3
D11,0.002125841,15,Control,1
D11,0.002078589,15,Control,2
D11,0.002142749,15,Control,3
D11,0.000933451,15,Sal,1
D11,0.000981466,15,Sal,2
D11,0.000945236,15,Sal,3
D11,0.00223207,20,Control,1
D11,0.002206195,20,Control,2
D11,0.00218562,20,Control,3
D11,0.001969644,20,Sal,1
D11,0.001867568,20,Sal,2
D11,0.001861273,20,Sal,3
D11,0.002683814,23,Control,1
D11,0.001936785,23,Control,2
D11,0.002483515,23,Control,3
D11,0.002209791,23,Sal,1
D11,0.002098571,23,Sal,2
D11,0.002232133,23,Sal,3
D11,0.002884344,27,Control,1
D11,0.002847213,27,Control,2
D11,0.002805566,27,Control,3
